serial,start_sample,end_sample
32950150,72644634,72644865
32950151,72646144,72646375
32950152,72647653,72647884
32950153,72649163,72649394
32950154,72650672,72650903
32950155,72652182,72652413
32950156,72653691,72653922
32950157,72655201,72655432
32950158,72656710,72656941
32950159,72658220,72658451
32950160,72659729,72659960
32950161,72661239,72661470
32950162,72662748,72662979
32950163,72664258,72664489
32950164,72665768,72665999
32950165,72667277,72667508
32950166,72668786,72669017
32950167,72670296,72670527
32950168,72671805,72672036
32950169,72673315,72673546
32950170,72674825,72675056
32950171,72676335,72676566
32950172,72677844,72678075
32950173,72679354,72679585
32950174,72680863,72681094
32950175,72682373,72682604
32950176,72683882,72684113
32950177,72685392,72685623
32950178,72686902,72687133
32950179,72688411,72688642
32950180,72689921,72690152
32950181,72691431,72691662
32950182,72692940,72693171
32950183,72694450,72694681
32950184,72695959,72696190
32950185,72697468,72697699
32950186,72698978,72699209
32950187,72700488,72700719
32950188,72701998,72702229
32950189,72703507,72703738
32950190,72705017,72705248
32950191,72706527,72706758
32950192,72708036,72708267
32950193,72709545,72709776
32950194,72711055,72711286
32950195,72712564,72712795
32950196,72714074,72714305
32950197,72715584,72715815
32950198,72717093,72717324
32950199,72718603,72718834
32950200,72720112,72720343
32950201,72721621,72721852
32950202,72723131,72723362
32950203,72724640,72724871
32950204,72726149,72726380
32950205,72727659,72727890
32950206,72729169,72729400
32950207,72730679,72730910
32950208,72732188,72732419
32950209,72733698,72733929
32950210,72735208,72735439
32950211,72736717,72736948
32950212,72738226,72738457
32950213,72739736,72739967
32950214,72741245,72741476
32950215,72742755,72742986
32950216,72744265,72744496
32950217,72745774,72746005
32950218,72747285,72747516
32950219,72748794,72749025
32950220,72750303,72750534
32950221,72751813,72752044
32950222,72753322,72753553
32950223,72754832,72755063
32950224,72756342,72756573
32950225,72757851,72758082
32950226,72759361,72759592
32950227,72760871,72761102
32950228,72762380,72762611
32950229,72763890,72764121
32950230,72765399,72765630
32950231,72766908,72767139
32950232,72768418,72768649
32950233,72769928,72770159
32950234,72771436,72771667
32950235,72772946,72773177
32950236,72774456,72774687
32950237,72775966,72776197
32950238,72777475,72777706
32950239,72778984,72779215
32950240,72780494,72780725
32950241,72782003,72782234
32950242,72783513,72783744
32950243,72785023,72785254
32950244,72786532,72786763
32950245,72788042,72788273
32950246,72789552,72789783
32950247,72791061,72791292
32950248,72792571,72792802
32950249,72794080,72794311
32950250,72795590,72795821
32950251,72797099,72797330
32950252,72798609,72798840
32950253,72800118,72800349
32950254,72801628,72801859
32950255,72803137,72803368
32950256,72804647,72804878
32950257,72806156,72806387
32950258,72807666,72807897
32950259,72809176,72809407
32950260,72810685,72810916
32950261,72812194,72812425
32950262,72813704,72813935
32950263,72815213,72815444
32950264,72816723,72816954
32950265,72818233,72818464
32950266,72819741,72819972
32950267,72821251,72821482
32950268,72822761,72822992
32950269,72824270,72824501
32950270,72825780,72826011
32950271,72827289,72827520
32950272,72828798,72829029
32950273,72830308,72830539
32950274,72831817,72832048
32950275,72833327,72833558
32950276,72834836,72835067
32950277,72836345,72836576
32950278,72837855,72838086
32950279,72839364,72839595
