TimeStamps,chunk_serial,UTCTimeStamp
14196071,111090476,2025-10-01 19:10:03.322367
14197073,111090477,2025-10-01 19:10:03.355767
14198074,111090478,2025-10-01 19:10:03.389133
14199076,111090479,2025-10-01 19:10:03.422533
14200077,111090480,2025-10-01 19:10:03.455900
14201078,111090481,2025-10-01 19:10:03.489267
14202079,111090482,2025-10-01 19:10:03.522633
14203080,111090483,2025-10-01 19:10:03.556000
14204082,111090484,2025-10-01 19:10:03.589400
14205083,111090485,2025-10-01 19:10:03.622767
14206085,111090486,2025-10-01 19:10:03.656167
14207086,111090487,2025-10-01 19:10:03.689533
14208087,111090488,2025-10-01 19:10:03.722900
14209088,111090489,2025-10-01 19:10:03.756267
14210090,111090490,2025-10-01 19:10:03.789667
14211091,111090491,2025-10-01 19:10:03.823033
14212092,111090492,2025-10-01 19:10:03.856400
14213094,111090493,2025-10-01 19:10:03.889800
14214095,111090494,2025-10-01 19:10:03.923167
14215097,111090495,2025-10-01 19:10:03.956567
14216098,111090496,2025-10-01 19:10:03.989933
14217099,111090497,2025-10-01 19:10:04.023300
14218100,111090498,2025-10-01 19:10:04.056667
14219101,111090499,2025-10-01 19:10:04.090033
14220103,111090500,2025-10-01 19:10:04.123433
14221104,111090501,2025-10-01 19:10:04.156800
14222106,111090502,2025-10-01 19:10:04.190200
14223107,111090503,2025-10-01 19:10:04.223567
14224109,111090504,2025-10-01 19:10:04.256967
14225110,111090505,2025-10-01 19:10:04.290333
14226111,111090506,2025-10-01 19:10:04.323700
14227112,111090507,2025-10-01 19:10:04.357067
14228114,111090508,2025-10-01 19:10:04.390467
14229115,111090509,2025-10-01 19:10:04.423833
14230117,111090510,2025-10-01 19:10:04.457233
14231118,111090511,2025-10-01 19:10:04.490600
14232119,111090512,2025-10-01 19:10:04.523967
14233121,111090513,2025-10-01 19:10:04.557367
14234122,111090514,2025-10-01 19:10:04.590733
14235123,111090515,2025-10-01 19:10:04.624100
14236125,111090516,2025-10-01 19:10:04.657500
14237126,111090517,2025-10-01 19:10:04.690867
14238127,111090518,2025-10-01 19:10:04.724233
14239128,111090519,2025-10-01 19:10:04.757600
14240130,111090520,2025-10-01 19:10:04.791000
14241131,111090521,2025-10-01 19:10:04.824367
14242133,111090522,2025-10-01 19:10:04.857767
14243134,111090523,2025-10-01 19:10:04.891133
14244135,111090524,2025-10-01 19:10:04.924500
14245137,111090525,2025-10-01 19:10:04.957900
14246138,111090526,2025-10-01 19:10:04.991267
14247139,111090527,2025-10-01 19:10:05.024633
14248141,111090528,2025-10-01 19:10:05.058033
14249142,111090529,2025-10-01 19:10:05.091400
14250143,111090530,2025-10-01 19:10:05.124767
14251144,111090531,2025-10-01 19:10:05.158133
14252146,111090532,2025-10-01 19:10:05.191533
14253147,111090533,2025-10-01 19:10:05.224900
14254149,111090534,2025-10-01 19:10:05.258300
14255150,111090535,2025-10-01 19:10:05.291667
14256151,111090536,2025-10-01 19:10:05.325033
14257152,111090537,2025-10-01 19:10:05.358400
14258154,111090538,2025-10-01 19:10:05.391800
14259155,111090539,2025-10-01 19:10:05.425167
14260156,111090540,2025-10-01 19:10:05.458533
14261158,111090541,2025-10-01 19:10:05.491933
14262159,111090542,2025-10-01 19:10:05.525300
14263161,111090543,2025-10-01 19:10:05.558700
14264162,111090544,2025-10-01 19:10:05.592067
14265164,111090545,2025-10-01 19:10:05.625467
14266165,111090546,2025-10-01 19:10:05.658833
14267166,111090547,2025-10-01 19:10:05.692200
14268167,111090548,2025-10-01 19:10:05.725567
14269169,111090549,2025-10-01 19:10:05.758967
14270170,111090550,2025-10-01 19:10:05.792333
14271171,111090551,2025-10-01 19:10:05.825700
14272173,111090552,2025-10-01 19:10:05.859100
14273174,111090553,2025-10-01 19:10:05.892467
14274176,111090554,2025-10-01 19:10:05.925867
14275177,111090555,2025-10-01 19:10:05.959233
14276178,111090556,2025-10-01 19:10:05.992600
14277180,111090557,2025-10-01 19:10:06.026000
14278181,111090558,2025-10-01 19:10:06.059367
14279182,111090559,2025-10-01 19:10:06.092733
14280183,111090560,2025-10-01 19:10:06.126100
14281185,111090561,2025-10-01 19:10:06.159500
14282186,111090562,2025-10-01 19:10:06.192867
14283188,111090563,2025-10-01 19:10:06.226267
14284189,111090564,2025-10-01 19:10:06.259633
14285190,111090565,2025-10-01 19:10:06.293000
14286192,111090566,2025-10-01 19:10:06.326400
14287193,111090567,2025-10-01 19:10:06.359767
14288195,111090568,2025-10-01 19:10:06.393167
14289196,111090569,2025-10-01 19:10:06.426533
14290197,111090570,2025-10-01 19:10:06.459900
14291199,111090571,2025-10-01 19:10:06.493300
14292200,111090572,2025-10-01 19:10:06.526667
14293201,111090573,2025-10-01 19:10:06.560033
14294203,111090574,2025-10-01 19:10:06.593433
14295204,111090575,2025-10-01 19:10:06.626800
14296205,111090576,2025-10-01 19:10:06.660167
14297207,111090577,2025-10-01 19:10:06.693567
14298208,111090578,2025-10-01 19:10:06.726933
14299210,111090579,2025-10-01 19:10:06.760333
14300211,111090580,2025-10-01 19:10:06.793700
14301212,111090581,2025-10-01 19:10:06.827067
14302214,111090582,2025-10-01 19:10:06.860467
14303215,111090583,2025-10-01 19:10:06.893833
14304216,111090584,2025-10-01 19:10:06.927200
